time,co2,temp,humid,count
1759153362,885,19.89967,82.57267,0
1759153392,878,19.60861,82.86107,0
1759153422,872,19.20539,83.26849,0
1759153452,869,19.0238,83.52941,0
1759153482,866,18.925,83.6881,0
1759153512,864,18.89029,83.56145,0
1759153542,863,18.92233,83.66521,0
1759153572,864,19.40032,84.14282,0
1759153602,864,19.75814,84.1413,0
1759153632,861,20.07591,83.81628,0
1759153662,861,20.32158,83.72778,0
1759153692,864,20.50584,83.73083,0
1759153722,866,20.63668,83.59045,0
1759153752,869,20.75151,83.60113,0
1759153782,863,20.87701,83.59502,0
1759153812,866,20.95979,83.49584,0
1759153842,867,21.05058,83.67132,0
1759153872,865,20.9865,83.48058,0
1759153902,862,20.31891,82.52537,0
1759153932,855,19.82223,82.7039,0
1759153962,855,19.49912,82.9984,0
1759153992,772,19.23209,83.25475,0
1759154022,788,19.07721,83.52636,0
1759154052,795,18.87427,83.63012,0
1759154082,794,18.83154,83.55383,0
1759154112,803,18.8262,83.31274,0
1759154142,809,19.2668,84.03143,0
1759154172,818,19.70741,84.10315,0
1759154202,823,20.04921,83.78577,0
1759154232,827,20.24949,83.6469,0
1759154262,823,20.46578,83.47753,0
1759154292,823,20.59396,83.61486,0
1759154322,825,20.66606,83.57366,0
1759154352,831,20.80758,83.53704,0
1759154382,835,20.90906,83.53399,3
1759154412,834,20.97047,83.6408,3
1759154442,844,21.08797,83.60723,3
1759154472,845,20.97849,83.33562,3
1759154502,840,20.33227,82.50706,3
1759154532,835,19.88365,82.63828,3
1759154562,832,19.68604,83.01671,3
1759154592,835,19.37896,83.13115,3
1759154622,833,19.07721,83.40582,3
1759154652,830,18.97307,83.51873,5
1759154682,843,18.88228,83.48058,5
1759154712,843,18.8983,83.45922,5
1759154742,842,19.17868,83.71099,5
1759154772,848,19.64599,84.10468,5
1759154802,852,19.9691,83.85596,6
1759154832,851,20.20409,83.85291,7
1759154862,856,20.48714,83.86359,7
1759154892,860,20.63935,83.80713,7
1759154922,861,20.7969,83.70641,7
1759154952,863,20.87167,83.80408,7
1759154982,865,20.98116,83.66674,7
1759155012,867,21.04791,83.87579,7
1759155042,865,21.05859,83.81628,7
1759155072,869,20.44175,82.88243,7
1759155102,876,19.87831,83.04112,7
1759155132,872,19.47776,83.45464,7
1759155162,866,19.27214,83.60113,7
1759155192,871,19.15465,83.6881,7
1759155222,874,19.15198,83.65453,7
1759155252,868,19.1413,83.57671,7
1759155282,867,19.56588,84.25727,7
1759155312,874,19.95308,84.34425,7
1759155342,879,20.28954,83.95819,7
1759155372,879,20.51919,83.77814,7
1759155402,883,20.66072,83.8819,7
1759155432,887,20.86366,83.73235,7
1759155462,889,20.94911,83.74914,7
1759155492,897,21.0132,83.85291,7
1759155522,895,21.09865,83.83612,7
1759155552,903,21.07996,83.57977,7
1759155582,897,20.50317,82.85039,7
1759155612,907,19.87831,82.94957,7
1759155642,900,19.56321,83.31426,7
1759155672,901,19.37629,83.54467,7
1759155702,905,19.12528,83.89563,7
1759155732,910,18.88762,84.03448,7
1759155762,915,18.81018,84.22217,7
1759155792,917,18.84756,84.09247,7
1759155822,925,19.04784,84.17792,7
1759155852,931,19.60594,84.52277,7
1759155882,931,19.97444,84.3534,7
1759155912,937,20.26017,84.12146,7
1759155942,938,20.51385,84.01312,7
1759155972,935,20.66339,83.86969,7
1759156002,943,20.79423,83.90326,7
1759156032,947,20.90104,83.91699,7
1759156062,952,21.00519,83.83612,7
1759156092,952,21.112,83.7232,7
1759156122,952,21.16007,83.73846,7
1759156152,947,20.60998,82.80461,7
1759156182,939,19.97711,82.81682,7
1759156212,944,19.73411,83.14183,7
